2023-08-25 14:03:24.173499,JotaroArs,1049484194,1/8
2023-08-25 14:04:04.331895,avosthh,611932424,"0,53125"
2023-08-25 14:04:56.491597,artemdolgih,1880073920,"0,53125"
2023-08-25 14:06:57.850023,lildronny,910879099,"0,234375"
2023-08-25 14:07:09.600752,avosthh,611932424,49/128
2023-08-25 14:07:20.874789,avosthh,611932424,"0,3828125"
2023-08-25 14:07:47.016898,semen03082007,1470591234,15/64
2023-08-25 14:07:50.223026,alnow0,983416579,"0,46875"
2023-08-25 14:10:14.239217,dm1trykrylov,430831182,7/16
2023-08-25 14:10:16.633091,AAntoxa_kartoxa,879485167,19/32
2023-08-25 14:10:43.327381,gregorykrylov,5009611754,"0,46875"
2023-08-25 14:12:12.817610,kseniaplatonova713,826798190,"0,53125"
2023-08-25 14:12:25.928871,gregorykrylov,5009611754,15/32
2023-08-25 14:12:53.789285,AAntoxa_kartoxa,879485167,7/32
2023-08-25 14:13:24.910805,avosthh,611932424,0.25
2023-08-25 14:13:40.782001,avosthh,611932424,0.5
2023-08-25 14:15:19.382050,zhivetina,1098951820,"0,53125"
2023-08-25 14:15:35.210500,avosthh,611932424,"0,53125"
2023-08-25 14:20:26.755606,Andyklo,967617706,"0,53125"
2023-08-25 14:25:38.777508,Andyklo,967617706,2053/4000
2023-08-25 14:28:56.448040,Andyklo,967617706,"0,375"
2023-08-25 14:31:22.572991,xructoc,129895256,55
2023-08-25 14:47:14.173531,alnow0,983416579,"0,53125"
2023-08-25 14:53:11.997974,alnow0,983416579,0.53125
2023-08-25 14:53:37.189112,alnow0,983416579,0.46875
2023-08-25 14:54:33.722217,alnow0,983416579,13/64
2023-08-25 14:55:15.900573,alnow0,983416579,38/64
2023-08-25 14:55:21.042552,Ruslan_155,1043880858,16215
